Soersen_a(OptIndex), CostArea, SDI, Soersen, Jaccard, SDI_a, Soersen_a, Jaccard_a
0.140932,46143.811022,0.159696,0.071145,0.127882,0.352641,0.140932,0.232504
0.142061,46603.185393,0.161255,0.071788,0.128912,0.355993,0.142061,0.234030
0.139276,45212.914595,0.156784,0.070051,0.126175,0.347148,0.139276,0.230296
0.140833,45897.950048,0.159116,0.070963,0.127645,0.352180,0.140833,0.232413
0.141572,46298.580276,0.160232,0.071443,0.128359,0.353828,0.141572,0.233369
0.405508,64671.369533,0.225830,0.137352,0.225662,0.504768,0.405508,0.503955
0.360156,60252.227860,0.209806,0.125977,0.209759,0.467176,0.360156,0.466943
0.277616,50674.773786,0.176615,0.102415,0.176166,0.393749,0.277616,0.391645
0.196452,40061.557224,0.140104,0.077345,0.137959,0.313785,0.196452,0.303430
0.196653,40106.082898,0.140251,0.077430,0.138093,0.314088,0.196653,0.303667
0.196478,40076.804023,0.140151,0.077368,0.137995,0.313875,0.196478,0.303460
0.196573,40089.799414,0.140200,0.077398,0.138043,0.313991,0.196573,0.303573
0.196473,40065.757498,0.140117,0.077353,0.137972,0.313810,0.196473,0.303454
0.251198,73136.979430,0.255038,0.119642,0.201793,0.568993,0.251198,0.364879
0.192583,42455.937447,0.148042,0.079248,0.140907,0.330259,0.192583,0.298748
0.198819,41391.446661,0.144724,0.079213,0.140930,0.324042,0.198819,0.306247
0.197080,40452.248235,0.141618,0.077845,0.138807,0.317619,0.197080,0.304206
0.306037,62320.716697,0.217724,0.120257,0.202376,0.486955,0.306037,0.419422
0.239552,47907.248322,0.167434,0.093227,0.162647,0.374671,0.239552,0.352378
0.214954,43568.683932,0.152286,0.084343,0.148959,0.340823,0.214954,0.325017
0.200370,40988.962961,0.143342,0.079022,0.140624,0.321024,0.200370,0.308084
0.199099,40588.413298,0.142026,0.078351,0.139585,0.318330,0.199099,0.306594
0.199620,40762.637124,0.142350,0.078705,0.140050,0.318199,0.199620,0.307139
0.198133,40468.266310,0.141384,0.078111,0.139131,0.316229,0.198133,0.305396
0.196578,40183.756414,0.140415,0.077531,0.138218,0.314132,0.196578,0.303552
0.197498,40341.339756,0.140928,0.077868,0.138740,0.315171,0.197498,0.304637
0.197288,40216.148947,0.140628,0.077660,0.138455,0.314911,0.197288,0.304422
0.196889,40138.141240,0.140375,0.077502,0.138211,0.314403,0.196889,0.303952
0.196441,40058.059177,0.140096,0.077338,0.137950,0.313783,0.196441,0.303418
0.196946,40152.447584,0.140414,0.077530,0.138252,0.314455,0.196946,0.304017
0.197015,40168.876594,0.140462,0.077562,0.138300,0.314537,0.197015,0.304098
0.196529,40077.229344,0.140153,0.077376,0.138008,0.313880,0.196529,0.303521
0.196704,40088.183666,0.140229,0.077409,0.138072,0.314162,0.196704,0.303736
0.197257,40204.711561,0.140579,0.077644,0.138426,0.314772,0.197257,0.304383
0.198135,40310.597477,0.140999,0.077895,0.138841,0.315865,0.198135,0.305439
0.196480,40077.204533,0.140153,0.077369,0.137996,0.313877,0.196480,0.303462
0.196588,40092.811361,0.140209,0.077404,0.138052,0.314009,0.196588,0.303591
0.196491,40079.447403,0.140160,0.077373,0.138003,0.313891,0.196491,0.303475
0.196771,40096.991183,0.140263,0.077429,0.138105,0.314245,0.196771,0.303818
0.196472,40076.543153,0.140149,0.077367,0.137993,0.313867,0.196472,0.303452
0.196699,40106.072817,0.140263,0.077435,0.138104,0.314150,0.196699,0.303725
0.197147,40132.797857,0.140412,0.077525,0.138264,0.314654,0.197147,0.304269
0.197656,40247.567131,0.140771,0.077748,0.138605,0.315331,0.197656,0.304867
0.197618,40240.915490,0.140749,0.077734,0.138583,0.315285,0.197618,0.304822
0.197229,40206.011319,0.140586,0.077641,0.138422,0.314794,0.197229,0.304350
0.198437,40342.143966,0.141146,0.077972,0.138975,0.316302,0.198437,0.305805
0.197587,40285.831654,0.140827,0.077798,0.138660,0.315224,0.197587,0.304767
0.198426,40357.438882,0.141173,0.077993,0.139001,0.316282,0.198426,0.305785
0.198107,40340.198616,0.141061,0.077934,0.138890,0.315878,0.198107,0.305396
0.197659,40249.202891,0.140775,0.077750,0.138609,0.315335,0.197659,0.304870
0.196539,40090.279141,0.140193,0.077395,0.138035,0.313949,0.196539,0.303531
0.196472,40076.540310,0.140149,0.077367,0.137993,0.313867,0.196472,0.303452
